r	z	br	bz
10.0000	-105.0000	0.0744	-2.1431
10.0000	-100.0000	0.0727	-2.2434
10.0000	-95.0000	0.0705	-2.2999
10.0000	-90.0000	0.0683	-2.3564
10.0000	-85.0000	0.0655	-2.4217
10.0000	-80.0000	0.0626	-2.4871
10.0000	-75.0000	0.0594	-2.5464
10.0000	-70.0000	0.0561	-2.6056
10.0000	-65.0000	0.0524	-2.6580
10.0000	-60.0000	0.0488	-2.7103
10.0000	-55.0000	0.0449	-2.7552
10.0000	-50.0000	0.0410	-2.8000
10.0000	-45.0000	0.0370	-2.8370
10.0000	-40.0000	0.0330	-2.8739
10.0000	-35.0000	0.0289	-2.9028
10.0000	-30.0000	0.0248	-2.9317
10.0000	-25.0000	0.0207	-2.9523
10.0000	-20.0000	0.0166	-2.9730
10.0000	-15.0000	0.0124	-2.9854
10.0000	-10.0000	0.0083	-2.9978
10.0000	-5.0000	0.0041	-3.0019
10.0000	0.0000	0.0000	-3.0061
10.0000	5.0000	-0.0041	-3.0019
10.0000	10.0000	-0.0083	-2.9978
10.0000	15.0000	-0.0124	-2.9854
10.0000	20.0000	-0.0166	-2.9730
10.0000	25.0000	-0.0207	-2.9523
10.0000	30.0000	-0.0248	-2.9317
10.0000	35.0000	-0.0289	-2.9028
10.0000	40.0000	-0.0330	-2.8739
10.0000	45.0000	-0.0370	-2.8370
10.0000	50.0000	-0.0410	-2.8000
10.0000	55.0000	-0.0449	-2.7552
10.0000	60.0000	-0.0488	-2.7103
10.0000	65.0000	-0.0524	-2.6580
10.0000	70.0000	-0.0561	-2.6056
10.0000	75.0000	-0.0594	-2.5464
10.0000	80.0000	-0.0626	-2.4871
10.0000	85.0000	-0.0655	-2.4217
10.0000	90.0000	-0.0683	-2.3564
10.0000	95.0000	-0.0705	-2.2999
10.0000	100.0000	-0.0727	-2.2434
10.0000	105.0000	-0.0744	-2.1431
10.0000	110.0000	-0.0758	-2.0678
10.0000	115.0000	-0.0767	-1.9914
10.0000	120.0000	-0.0773	-1.9143
10.0000	125.0000	-0.0774	-1.8368
10.0000	130.0000	-0.0772	-1.7594
10.0000	135.0000	-0.0766	-1.6824
10.0000	140.0000	-0.0756	-1.6062
10.0000	145.0000	-0.0743	-1.5311
10.0000	150.0000	-0.0727	-1.4575
10.0000	155.0000	-0.0708	-1.3856
10.0000	160.0000	-0.0687	-1.3158
10.0000	165.0000	-0.0664	-1.2482
10.0000	170.0000	-0.0640	-1.1830
10.0000	175.0000	-0.0614	-1.1053
10.0000	180.0000	-0.0587	-1.0565
10.0000	185.0000	-0.0560	-1.0044
10.0000	190.0000	-0.0533	-0.9491
10.0000	195.0000	-0.0506	-0.8979
10.0000	200.0000	-0.0479	-0.8487
10.0000	205.0000	-0.0452	-0.8015
10.0000	210.0000	-0.0426	-0.7582
10.0000	215.0000	-0.0401	-0.7169
10.0000	220.0000	-0.0376	-0.6775
10.0000	225.0000	-0.0353	-0.6416
10.0000	230.0000	-0.0330	-0.6075
10.0000	235.0000	-0.0308	-0.5750
10.0000	240.0000	-0.0288	-0.5458
10.0000	245.0000	-0.0268	-0.5171
10.0000	250.0000	-0.0249	-0.4888
10.0000	255.0000	-0.0232	-0.4674
10.0000	260.0000	-0.0214	-0.4459
10.0000	265.0000	-0.0199	-0.4261
10.0000	270.0000	-0.0183	-0.4062
10.0000	275.0000	-0.0169	-0.3893
10.0000	280.0000	-0.0155	-0.3725
10.0000	285.0000	-0.0142	-0.3583
10.0000	290.0000	-0.0129	-0.3440
10.0000	295.0000	-0.0118	-0.3322
10.0000	300.0000	-0.0107	-0.3204
10.0000	305.0000	-0.0098	-0.3106
10.0000	310.0000	-0.0089	-0.3007
10.0000	315.0000	-0.0083	-0.2924
10.0000	320.0000	-0.0078	-0.2840
10.0000	325.0000	-0.0082	-0.2755
10.0000	330.0000	-0.0086	-0.2670
10.0000	335.0000	-0.0151	-0.2511
10.0000	340.0000	-0.0215	-0.2352
15.0000	-345.0000	0.0559	-0.2178
15.0000	-340.0000	0.0224	-0.2494
15.0000	-335.0000	0.0168	-0.2599
15.0000	-330.0000	0.0113	-0.2705
15.0000	-325.0000	0.0114	-0.2771
15.0000	-320.0000	0.0114	-0.2837
15.0000	-315.0000	0.0123	-0.2918
15.0000	-310.0000	0.0131	-0.2998
15.0000	-305.0000	0.0145	-0.3094
15.0000	-300.0000	0.0160	-0.3191
15.0000	-295.0000	0.0176	-0.3308
15.0000	-290.0000	0.0193	-0.3426
15.0000	-285.0000	0.0212	-0.3567
15.0000	-280.0000	0.0231	-0.3708
15.0000	-275.0000	0.0252	-0.3876
15.0000	-270.0000	0.0273	-0.4043
15.0000	-265.0000	0.0296	-0.4241
15.0000	-260.0000	0.0320	-0.4438
15.0000	-255.0000	0.0346	-0.4652
15.0000	-250.0000	0.0372	-0.4866
15.0000	-245.0000	0.0400	-0.5146
15.0000	-240.0000	0.0430	-0.5432
15.0000	-235.0000	0.0460	-0.5724
15.0000	-230.0000	0.0493	-0.6047
15.0000	-225.0000	0.0527	-0.6387
15.0000	-220.0000	0.0562	-0.6744
15.0000	-215.0000	0.0599	-0.7138
15.0000	-210.0000	0.0637	-0.7550
15.0000	-205.0000	0.0676	-0.7982
15.0000	-200.0000	0.0716	-0.8453
15.0000	-195.0000	0.0757	-0.8944
15.0000	-190.0000	0.0798	-0.9456
15.0000	-185.0000	0.0839	-1.0010
15.0000	-180.0000	0.0880	-1.0531
15.0000	-175.0000	0.0920	-1.1020
15.0000	-170.0000	0.0959	-1.1798
15.0000	-165.0000	0.0996	-1.2452
15.0000	-160.0000	0.1031	-1.3130
15.0000	-155.0000	0.1062	-1.3831
15.0000	-150.0000	0.1091	-1.4553
15.0000	-145.0000	0.1115	-1.5292
15.0000	-140.0000	0.1135	-1.6047
15.0000	-135.0000	0.1150	-1.6814
15.0000	-130.0000	0.1159	-1.7588
15.0000	-125.0000	0.1163	-1.8368
15.0000	-120.0000	0.1160	-1.9148
15.0000	-115.0000	0.1152	-1.9924
15.0000	-110.0000	0.1138	-2.0693
15.0000	-105.0000	0.1118	-2.1450
15.0000	-100.0000	0.1092	-2.2459
15.0000	-95.0000	0.1058	-2.3028
15.0000	-90.0000	0.1025	-2.3596
15.0000	-85.0000	0.0982	-2.4253
15.0000	-80.0000	0.0940	-2.4910
15.0000	-75.0000	0.0890	-2.5505
15.0000	-70.0000	0.0841	-2.6100
15.0000	-65.0000	0.0786	-2.6625
15.0000	-60.0000	0.0731	-2.7151
15.0000	-55.0000	0.0673	-2.7600
15.0000	-50.0000	0.0615	-2.8050
15.0000	-45.0000	0.0554	-2.8420
15.0000	-40.0000	0.0494	-2.8790
15.0000	-35.0000	0.0433	-2.9079
15.0000	-30.0000	0.0371	-2.9368
15.0000	-25.0000	0.0310	-2.9575
15.0000	-20.0000	0.0248	-2.9782
15.0000	-15.0000	0.0186	-2.9906
15.0000	-10.0000	0.0124	-3.0030
15.0000	-5.0000	0.0062	-3.0071
15.0000	0.0000	0.0000	-3.0113
15.0000	5.0000	-0.0062	-3.0071
15.0000	10.0000	-0.0124	-3.0030
15.0000	15.0000	-0.0186	-2.9906
15.0000	20.0000	-0.0248	-2.9782
15.0000	25.0000	-0.0310	-2.9575
15.0000	30.0000	-0.0371	-2.9368
15.0000	35.0000	-0.0433	-2.9079
15.0000	40.0000	-0.0494	-2.8790
15.0000	45.0000	-0.0554	-2.8420
15.0000	50.0000	-0.0615	-2.8050
15.0000	55.0000	-0.0673	-2.7600
15.0000	60.0000	-0.0731	-2.7151
15.0000	65.0000	-0.0786	-2.6625
15.0000	70.0000	-0.0841	-2.6100
15.0000	75.0000	-0.0890	-2.5505
15.0000	80.0000	-0.0940	-2.4910
15.0000	85.0000	-0.0982	-2.4253
15.0000	90.0000	-0.1025	-2.3596
15.0000	95.0000	-0.1058	-2.3028
15.0000	100.0000	-0.1092	-2.2459
15.0000	105.0000	-0.1118	-2.1450
15.0000	110.0000	-0.1138	-2.0693
15.0000	115.0000	-0.1152	-1.9924
15.0000	120.0000	-0.1160	-1.9148
15.0000	125.0000	-0.1163	-1.8368
15.0000	130.0000	-0.1159	-1.7588
15.0000	135.0000	-0.1150	-1.6814
15.0000	140.0000	-0.1135	-1.6047
15.0000	145.0000	-0.1115	-1.5292
15.0000	150.0000	-0.1091	-1.4553
15.0000	155.0000	-0.1062	-1.3831
15.0000	160.0000	-0.1031	-1.3130
15.0000	165.0000	-0.0996	-1.2452
15.0000	170.0000	-0.0959	-1.1798
15.0000	175.0000	-0.0920	-1.1020
15.0000	180.0000	-0.0880	-1.0531
15.0000	185.0000	-0.0839	-1.0010
15.0000	190.0000	-0.0798	-0.9456
15.0000	195.0000	-0.0757	-0.8944
15.0000	200.0000	-0.0716	-0.8453
15.0000	205.0000	-0.0676	-0.7982
15.0000	210.0000	-0.0637	-0.7550
15.0000	215.0000	-0.0599	-0.7138
15.0000	220.0000	-0.0562	-0.6744
15.0000	225.0000	-0.0527	-0.6387
15.0000	230.0000	-0.0493	-0.6047
15.0000	235.0000	-0.0460	-0.5724
15.0000	240.0000	-0.0430	-0.5432
15.0000	245.0000	-0.0400	-0.5146
15.0000	250.0000	-0.0372	-0.4866
15.0000	255.0000	-0.0346	-0.4652
15.0000	260.0000	-0.0320	-0.4438
15.0000	265.0000	-0.0296	-0.4241
15.0000	270.0000	-0.0273	-0.4043
15.0000	275.0000	-0.0252	-0.3876
15.0000	280.0000	-0.0231	-0.3708
15.0000	285.0000	-0.0212	-0.3567
15.0000	290.0000	-0.0193	-0.3426
15.0000	295.0000	-0.0176	-0.3308
15.0000	300.0000	-0.0160	-0.3191
15.0000	305.0000	-0.0145	-0.3094
15.0000	310.0000	-0.0131	-0.2998
15.0000	315.0000	-0.0123	-0.2918
15.0000	320.0000	-0.0114	-0.2837
15.0000	325.0000	-0.0114	-0.2771
15.0000	330.0000	-0.0113	-0.2705
15.0000	335.0000	-0.0168	-0.2599
15.0000	340.0000	-0.0224	-0.2494
20.0000	-345.0000	0.0791	-0.2369
20.0000	-340.0000	0.0008	-0.2762
20.0000	-335.0000	0.0095	-0.2734
20.0000	-330.0000	0.0182	-0.2706
20.0000	-325.0000	0.0158	-0.2770
20.0000	-320.0000	0.0134	-0.2835
20.0000	-315.0000	0.0153	-0.2909
20.0000	-310.0000	0.0173	-0.2984
20.0000	-305.0000	0.0191	-0.3078
20.0000	-300.0000	0.0208	-0.3173
20.0000	-295.0000	0.0231	-0.3289
20.0000	-290.0000	0.0253	-0.3405
20.0000	-285.0000	0.0278	-0.3545
20.0000	-280.0000	0.0302	-0.3685
20.0000	-275.0000	0.0330	-0.3851
20.0000	-270.0000	0.0358	-0.4018
20.0000	-265.0000	0.0389	-0.4214
20.0000	-260.0000	0.0419	-0.4410
20.0000	-255.0000	0.0454	-0.4622
20.0000	-250.0000	0.0488	-0.4834
20.0000	-245.0000	0.0525	-0.5113
20.0000	-240.0000	0.0564	-0.5398
20.0000	-235.0000	0.0604	-0.5687
20.0000	-230.0000	0.0648	-0.6009
20.0000	-225.0000	0.0692	-0.6347
20.0000	-220.0000	0.0739	-0.6703
20.0000	-215.0000	0.0787	-0.7095
20.0000	-210.0000	0.0837	-0.7506
20.0000	-205.0000	0.0889	-0.7936
20.0000	-200.0000	0.0942	-0.8406
20.0000	-195.0000	0.0996	-0.8897
20.0000	-190.0000	0.1050	-0.9409
20.0000	-185.0000	0.1104	-0.9963
20.0000	-180.0000	0.1158	-1.0484
20.0000	-175.0000	0.1212	-1.0974
20.0000	-170.0000	0.1264	-1.1754
20.0000	-165.0000	0.1313	-1.2410
20.0000	-160.0000	0.1359	-1.3092
20.0000	-155.0000	0.1402	-1.3796
20.0000	-150.0000	0.1440	-1.4522
20.0000	-145.0000	0.1472	-1.5267
20.0000	-140.0000	0.1499	-1.6027
20.0000	-135.0000	0.1518	-1.6800
20.0000	-130.0000	0.1531	-1.7581
20.0000	-125.0000	0.1536	-1.8367
20.0000	-120.0000	0.1533	-1.9154
20.0000	-115.0000	0.1522	-1.9937
20.0000	-110.0000	0.1503	-2.0713
20.0000	-105.0000	0.1477	-2.1476
20.0000	-100.0000	0.1442	-2.2494
20.0000	-95.0000	0.1398	-2.3067
20.0000	-90.0000	0.1353	-2.3640
20.0000	-85.0000	0.1297	-2.4301
20.0000	-80.0000	0.1240	-2.4963
20.0000	-75.0000	0.1175	-2.5561
20.0000	-70.0000	0.1109	-2.6160
20.0000	-65.0000	0.1036	-2.6688
20.0000	-60.0000	0.0964	-2.7216
20.0000	-55.0000	0.0887	-2.7667
20.0000	-50.0000	0.0810	-2.8118
20.0000	-45.0000	0.0730	-2.8489
20.0000	-40.0000	0.0651	-2.8860
20.0000	-35.0000	0.0570	-2.9150
20.0000	-30.0000	0.0489	-2.9439
20.0000	-25.0000	0.0407	-2.9646
20.0000	-20.0000	0.0326	-2.9853
20.0000	-15.0000	0.0245	-2.9977
20.0000	-10.0000	0.0163	-3.0101
20.0000	-5.0000	0.0081	-3.0142
20.0000	0.0000	0.0000	-3.0184
20.0000	5.0000	-0.0081	-3.0142
20.0000	10.0000	-0.0163	-3.0101
20.0000	15.0000	-0.0245	-2.9977
20.0000	20.0000	-0.0326	-2.9853
20.0000	25.0000	-0.0407	-2.9646
20.0000	30.0000	-0.0489	-2.9439
20.0000	35.0000	-0.0570	-2.9150
20.0000	40.0000	-0.0651	-2.8860
20.0000	45.0000	-0.0730	-2.8489
20.0000	50.0000	-0.0810	-2.8118
20.0000	55.0000	-0.0887	-2.7667
20.0000	60.0000	-0.0964	-2.7216
20.0000	65.0000	-0.1036	-2.6688
20.0000	70.0000	-0.1109	-2.6160
20.0000	75.0000	-0.1175	-2.5561
